year,month,co2
2015,1,406.8418339243025
2015,2,407.128377170966
2015,3,407.4001209167085
2015,4,406.936245913147
2015,5,404.7528078059295
2015,6,400.53966221615747
2015,7,396.0563078506025
2015,8,393.988954963751
2015,9,397.268074274093
2015,10,402.40895525828046
2015,11,406.453150373793
2015,12,408.54835860930405
2016,1,409.7463898821725
2016,2,410.28115847662696
2016,3,410.760236468031
2016,4,410.5384176856795
2016,5,408.5591628246255
2016,6,404.855336203709
2016,7,400.636296827921
2016,8,397.85818373250254
2016,9,401.094436536599
2016,10,406.201624692918
2016,11,410.0375188688955
2016,12,412.0127350940545
2017,1,413.07193153164746
2017,2,413.45159931020953
2017,3,413.78476552906045
2017,4,413.41166439967196
2017,5,411.277825459116
2017,6,407.45507639301
2017,7,403.1655990401755
2017,8,400.4569973886085
2017,9,403.7628409331195
2017,10,408.98802095239296
2017,11,412.919641922549
2017,12,414.9508579374
2018,1,416.05763576189554
2018,2,416.477152795765
2018,3,416.84576625753596
2018,4,416.4843249311785
2018,5,414.33846002595897
2018,6,410.5104746044505
2018,7,406.2901131774235
2018,8,403.556209038543
2018,9,406.9038284220265
2018,10,412.2066495173355
2018,11,416.17411722595955
2018,12,418.20956241271847
2019,1,419.3118886595855
2019,2,419.7257523271975
2019,3,420.0961159641775
2019,4,419.691397153297
2019,5,417.4988650048545
2019,6,413.63771357720054
2019,7,409.4690415212435
2019,8,406.7041832920055
2019,9,410.09191890489546
2019,10,415.474797845022
2019,11,419.483209867155
2019,12,421.53159278967553
2020,1,422.62856972321754
2020,2,423.049734209331
2020,3,423.43024003178004
2020,4,422.98807331913804
2020,5,420.753793754568
2020,6,416.8635182779105
2020,7,412.74734097128146
2020,8,409.9533043089235
2020,9,413.3809454128995
2020,10,418.843101818327
2020,11,422.89207884493896
2020,12,424.951405122407
2021,1,426.0465779192225
2021,2,426.46554643487696
2021,3,426.85080524258797
2021,4,426.3695782135475
2021,5,424.089821854664
2021,6,420.1701074103755
2021,7,416.07761083444
2021,8,413.27782096844146
2021,9,416.745074831851
2021,10,422.28742054935253
2021,11,426.3798996943165
2021,12,428.4503597217095
2022,1,429.532244504738
2022,2,429.9590001687885
2022,3,430.33810526263846
2022,4,429.8286016297035
2022,5,427.4951022888015
2022,6,423.5539962999785
2022,7,419.48409229785204
2022,8,416.675782782906
2022,9,420.17999455377253
2022,10,425.79968410281697
2022,11,429.93310035948696
2022,12,432.01247798934946
2023,1,433.0806777000675
2023,2,433.495706939893
2023,3,433.8848487329375
2023,4,433.34563264113547
2023,5,430.97357659576903
2023,6,426.993945616518
2023,7,422.94706827846096
2023,8,420.129548944227
2023,9,423.6503735342735
2023,10,429.3693801324485
2023,11,433.5449917753655
2023,12,435.6679265336685
2024,1,436.688249917941
2024,2,437.10203890917796
2024,3,437.491885870047
2024,4,436.92335503946447
2024,5,434.504917709757
2024,6,430.49504780528
2024,7,426.4684953015935
2024,8,423.64489204209747
2024,9,427.1754526462975
2024,10,433.0009501499385
2024,11,437.218904325442
2024,12,439.3680299459355
2025,1,440.3674120531735
2025,2,440.7777830211615
2025,3,441.1607023259625
2025,4,440.5627310890665
2025,5,438.0976573067375
2025,6,434.0576606353735
2025,7,430.07253322486747
2025,8,427.2218601518415
2025,9,430.7738579917815
2025,10,436.69490911379796
2025,11,440.95574839177095
2025,12,443.11544497918
2026,1,444.113544708032
2026,2,444.5172638583715
2026,3,444.8935376364325
2026,4,444.266335418773
2026,5,441.754784487216
2026,6,437.6849225587665
2026,7,433.7212990167815
2026,8,430.8775450469525
2026,9,434.4538050303205
2026,10,440.4552045204925
2026,11,444.759273174464
2026,12,446.9298215407215
2027,1,447.926853400627
2027,2,448.3240254935145
2027,3,448.693730258238
2027,4,448.03724104049
2027,5,445.4790388057785
2027,6,441.37919222830453
2027,7,437.4240428666185
2027,8,434.6280724099585
2027,9,438.20311799302954
2027,10,444.2823862720255
2027,11,448.62973147863954
2027,12,450.81102738902
2028,1,451.8068664720395
2028,2,452.197370845382
2028,3,452.5604498825795
2028,4,451.87457697653497
2028,5,449.269630641572
2028,6,445.139875614283
2028,7,441.203753111822
2028,8,438.45969452769896
2028,9,442.0270360510135
2028,10,448.1772740866285
2028,11,452.56846173761403
2028,12,454.7608196170305
2029,1,455.755704198584
2029,2,456.1397504151505
2029,3,456.496356984047
2029,4,455.78112453853
2029,5,453.1293297995075
2029,6,448.96960231242247
2029,7,445.0326233392525
2029,8,442.3325626745645
2029,9,445.919950264921
2029,10,452.141259412143
2029,11,456.5762850718305
2029,12,458.779639756219
2030,1,459.773417477366
2030,2,460.1509838728995
2030,3,460.50115188376003
2030,4,459.7566228326665
2030,5,457.0580981764345
2030,6,452.8686748509135
2030,7,448.92489411251097
2030,8,446.2869817612315
2030,9,449.88002506072746
2030,10,456.169357834955
2030,11,460.647858460684
2030,12,462.860878772368
2031,1,463.8520150211545
2031,2,464.2215142110195
2031,3,464.560759470601
2031,4,463.78770523129947
2031,5,461.04040779116747
2031,6,456.822374039916
2031,7,452.866818086897
2031,8,450.294800325039
2031,9,453.8964365225535
2031,10,460.248804127425
2031,11,464.773788203206
2031,12,466.997340282123
2032,1,467.9853977078705
2032,2,468.347436697612
2032,3,468.662175322033
2032,4,467.8755925605325
2032,5,465.0806013203555
2032,6,460.83395890295003
2032,7,456.839874266143
2032,8,454.358749278705
2032,9,457.9663997976245
2032,10,464.380993940409
2032,11,468.950549715164
2032,12,471.1833486041005
2033,1,472.168221486957
2033,2,472.5217720395015
2033,3,472.813786948343
2033,4,472.0101647275935
2033,5,469.1668218293885
2033,6,464.8788614486325
2033,7,460.894750305493
