id,centerX,centerY,weatherID,soilDepth,soilThetaS,soilThetaR,soilVanGenuchtenAlpha,soilVanGenuchtenN
85174,126250,202650,N204.0 E128.0,130.5,0.5987503753991685,0.07243215657133101,5472723.587489781,1.3292354228377012
84823,126150,202650,N204.0 E128.0,124,0.55273402935915406,0.07367943382198588,4477186.710826619,1.306824838619282
84472,126050,202650,N204.0 E128.0,111,0.6051236936017064,0.06991824458210588,5730331.3711469835,1.335786091404274
84471,126050,202750,N204.0 E128.0,130.5,0.6062246184953098,0.07085785312794554,5163485.015681701,1.3268855182667967
84822,126150,202750,N204.0 E128.0,124,0.5561607145574144,0.07179652812880696,4535358.549847895,1.3103781107773087
85173,126250,202750,N204.0 E128.0,111,0.6047676798474562,0.07250717075707558,5555925.228166233,1.3302431499158527
85524,126350,202750,N204.0 E128.0,112.5,0.6011522997446631,0.07470671460032466,5243120.571053446,1.323417396677866
85525,126350,202650,N204.0 E128.0,112.5,0.5973388856587307,0.07350322673511171,5166257.295551557,1.3222331937816416
85876,126450,202650,N204.0 E128.0,114,0.6067746966636102,0.07158078742417782,5466561.920623739,1.3311578277215264
85875,126450,202750,N204.0 E128.0,114,0.6073957901143018,0.07392090499913048,5058678.053750107,1.3244306936772945
86226,126550,202750,N204.0 E128.0,114,0.6100286328457076,0.07268034025743515,4996733.56005962,1.326832439728645
86577,126650,202750,N204.0 E128.0,114,0.599599573492539,0.07095030665426692,5707668.673965193,1.3325746399849705
86928,126750,202750,N204.0 E128.0,96,0.6063616076070399,0.07233874226868565,5782346.427134639,1.3349778856047338
86578,126650,202650,N204.0 E128.0,112.5,0.6001521675537033,0.07393180707262623,5419550.29407738,1.3265632605552657
86929,126750,202650,N204.0 E128.0,105,0.5923183443179973,0.0713213105419917,5668154.01348025,1.335544117622903
86227,126550,202650,N204.0 E128.0,114,0.6078544467230114,0.07381289594055136,4983338.888104527,1.3234372150087583
87280,126850,202650,N204.0 E128.0,102,0.6015765790681483,0.0704338915061717,5931664.577684586,1.3387234480503714
87279,126850,202750,N204.0 E128.0,103,0.5841965987784093,0.06470824958316525,5823024.777498072,1.3459535243779324
87277,126850,202950,N204.0 E128.0,96,0.5916297080305717,0.06773989377688847,5641414.153182214,1.3405712979793967
87276,126850,203050,N204.0 E128.0,96,0.6069515480970342,0.07237561587195768,5368199.179517244,1.3300909882167442
87278,126850,202850,N204.0 E128.0,96,0.5937078593221183,0.06720498964083768,5700536.2945307465,1.341607414962104
86927,126750,202850,N204.0 E128.0,114,0.6048158286221064,0.07293641052551961,5413667.320342291,1.3288304726631306
86576,126650,202850,N204.0 E128.0,114,0.6028129152452564,0.07566451689783943,5160662.313243071,1.3203051141828153
86225,126550,202850,N204.0 E128.0,114,0.6113806371250304,0.0739987883757669,4733373.486329275,1.3209615137144848
86224,126550,202950,N204.0 E128.0,114,0.6081977965833063,0.07359006151704019,5070209.015709273,1.3263044962060386
86223,126550,203050,N204.0 E128.0,114,0.6024176957404339,0.07206063748852007,5588686.848018436,1.3320623251647654
86574,126650,203050,N204.0 E128.0,114,0.6085365046229625,0.0726420750667216,5103603.904860817,1.3272995059950328
86575,126650,202950,N204.0 E128.0,114,0.5982713779292955,0.07421776908858303,5369902.499569671,1.3271350062381442
86926,126750,202950,N204.0 E128.0,114,0.6034178111514304,0.07297802295764545,5509525.286011571,1.3322252602038702
86925,126750,203050,N204.0 E128.0,114,0.6022322139326941,0.07464170522514012,5322290.701429702,1.3267686468990223
86924,126750,203150,N204.0 E128.0,114,0.6119924371855128,0.07260408581980657,4917162.165266246,1.323889243585326
86573,126650,203150,N204.0 E128.0,114,0.6070191153483085,0.07264009997117937,5210420.843123827,1.3280292607190316
