year,month,co2
1950,1,380
1950,2,380
1950,3,380
1950,4,380
1950,5,380
1950,6,380
1950,7,380
1950,8,380
1950,9,380
1950,10,380
1950,11,380
1950,12,380
1951,1,380
1951,2,380
1951,3,380
1951,4,380
1951,5,380
1951,6,380
1951,7,380
1951,8,380
1951,9,380
1951,10,380
1951,11,380
1951,12,380
1952,1,380
1952,2,380
1952,3,380
1952,4,380
1952,5,380
1952,6,380
1952,7,380
1952,8,380
1952,9,380
1952,10,380
1952,11,380
1952,12,380
1953,1,380
1953,2,380
1953,3,380
1953,4,380
1953,5,380
1953,6,380
1953,7,380
1953,8,380
1953,9,380
1953,10,380
1953,11,380
1953,12,380
1954,1,380
1954,2,380
1954,3,380
1954,4,380
1954,5,380
1954,6,380
1954,7,380
1954,8,380
1954,9,380
1954,10,380
1954,11,380
1954,12,380
1955,1,380
1955,2,380
1955,3,380
1955,4,380
1955,5,380
1955,6,380
1955,7,380
1955,8,380
1955,9,380
1955,10,380
1955,11,380
1955,12,380
1956,1,380
1956,2,380
1956,3,380
1956,4,380
1956,5,380
1956,6,380
1956,7,380
1956,8,380
1956,9,380
1956,10,380
1956,11,380
1956,12,380
1957,1,380
1957,2,380
1957,3,380
1957,4,380
1957,5,380
1957,6,380
1957,7,380
1957,8,380
1957,9,380
1957,10,380
1957,11,380
1957,12,380
1958,1,380
1958,2,380
1958,3,380
1958,4,380
1958,5,380
1958,6,380
1958,7,380
1958,8,380
1958,9,380
1958,10,380
1958,11,380
1958,12,380
1959,1,380
1959,2,380
1959,3,380
1959,4,380
1959,5,380
1959,6,380
1959,7,380
1959,8,380
1959,9,380
1959,10,380
1959,11,380
1959,12,380
1960,1,380
1960,2,380
1960,3,380
1960,4,380
1960,5,380
1960,6,380
1960,7,380
1960,8,380
1960,9,380
1960,10,380
1960,11,380
1960,12,380
1961,1,380
1961,2,380
1961,3,380
1961,4,380
1961,5,380
1961,6,380
1961,7,380
1961,8,380
1961,9,380
1961,10,380
1961,11,380
1961,12,380
1962,1,380
1962,2,380
1962,3,380
1962,4,380
1962,5,380
1962,6,380
1962,7,380
1962,8,380
1962,9,380
1962,10,380
1962,11,380
1962,12,380
1963,1,380
1963,2,380
1963,3,380
1963,4,380
1963,5,380
1963,6,380
1963,7,380
1963,8,380
1963,9,380
1963,10,380
1963,11,380
1963,12,380
1964,1,380
1964,2,380
1964,3,380
1964,4,380
1964,5,380
1964,6,380
1964,7,380
1964,8,380
1964,9,380
1964,10,380
1964,11,380
1964,12,380
1965,1,380
1965,2,380
1965,3,380
1965,4,380
1965,5,380
1965,6,380
1965,7,380
1965,8,380
1965,9,380
1965,10,380
1965,11,380
1965,12,380
1966,1,380
1966,2,380
1966,3,380
1966,4,380
1966,5,380
1966,6,380
1966,7,380
1966,8,380
1966,9,380
1966,10,380
1966,11,380
1966,12,380
1967,1,380
1967,2,380
1967,3,380
1967,4,380
1967,5,380
1967,6,380
1967,7,380
1967,8,380
1967,9,380
1967,10,380
1967,11,380
1967,12,380
1968,1,380
1968,2,380
1968,3,380
1968,4,380
1968,5,380
1968,6,380
1968,7,380
1968,8,380
1968,9,380
1968,10,380
1968,11,380
1968,12,380
1969,1,380
1969,2,380
1969,3,380
1969,4,380
1969,5,380
1969,6,380
