<trees>
id;x;y;species;dbh;height;age
1;2.052724288;53.15987055;psme;31.2;24.2;30
2;1.968531589;49.52599925;piab;22.6;24;30
3;2.088500915;45.8753987;lade;34.3;25.6;30
4;2.132075418;38.90995067;pisy;29.7;23.3;30
5;1.953133228;34.58392366;fasy;33.1;26.5;30
6;2.2554917;31.24087915;quro;33.8;23.3;30
7;2.703424021;27.89793388;acps;19.6;17.7;30
8;2.92405131;24.26890795;frex;29.3;24.5;30
9;3.143976796;20.26537896;cabe;29.1;19.3;30
10;3.424124891;13.15432255;bepe;23.8;23.8;30
11;3.714879694;8.958192441;alin;30.5;24.6;30
12;7.506373435;1.982333882;qupe;27.2;23.4;30
13;7.524011826;4.555735694;psme;30.5;24.2;30
14;7.552368786;9.05579982;algl;33.6;23.8;30
15;7.038036284;13.10604281;casa;29;20.9;30
16;7.118633829;16.01639142;pini;30.4;19.8;30
17;7.428427405;20.04850557;acca;27;23.9;30
18;7.621034123;24.17183568;acpl;26.5;22.9;30
19;7.061708041;27.89761221;qupu;29.8;23.7;30
20;6.465981958;31.38170799;pice;27.7;24.1;30
21;5.558839454;34.95532588;soau;33.1;25.4;30
22;4.67998115;38.4497742;soar;34;25.6;30
23;6.998968523;45.78436094;coav;34.6;25.9;30
24;10.51184957;53.29867772;alvi;37.8;27;30
25;10.55824536;49.49589329;potr;37.1;26.1;30
26;11.02751911;45.70223185;poni;31;25.2;30
27;10.88328109;42.24021677;tico;27;24.3;30
28;11.05375549;38.66070235;tipl;24.8;23.3;30
29;11.09868948;31.50784382;ulgl;23.4;24.2;30
30;11.32539045;27.98046241;saca;31.7;25.2;30
31;11.42387245;24.25818434;rops;28.3;24.2;30
</trees>
